lat,lon,year,soil_water
43.75,11.75,1982,0.29210743
43.75,11.75,1983,0.2837854
43.75,11.75,1984,0.32070875
43.75,11.75,1985,0.25328
43.75,11.75,1986,0.3029437
43.75,11.75,1987,0.285093
43.75,11.75,1988,0.2813445
43.75,11.75,1989,0.33777586
43.75,11.75,1990,0.27876502
43.75,11.75,1991,0.2716886
43.75,11.75,1992,0.27439845
43.75,11.75,1993,0.25170788
43.75,11.75,1994,0.2667654
43.75,11.75,1995,0.32324144
43.75,11.75,1996,0.31212503
43.75,11.75,1997,0.29009998
43.75,11.75,1998,0.25334972
43.75,11.75,1999,0.28774938
43.75,11.75,2000,0.26042226
43.75,11.75,2001,0.2787617
43.75,11.75,2002,0.3303128
43.75,11.75,2003,0.22037975
43.75,11.75,2004,0.27471265
43.75,11.75,2005,0.28433067
43.75,11.75,2006,0.26902258
43.75,11.75,2007,0.2594154
43.75,11.75,2008,0.28135142
43.75,11.75,2009,0.26199326
43.75,11.75,2010,0.31388977
43.75,11.75,2011,0.24805272
43.75,11.75,2012,0.26674378
43.75,11.75,2013,0.28989452
43.75,11.75,2014,0.33105773
43.75,11.75,2015,0.27480882
43.75,11.75,2016,0.3034092
43.75,12.25,1982,0.27340707
43.75,12.25,1983,0.26827577
43.75,12.25,1984,0.30412084
43.75,12.25,1985,0.24212131
43.75,12.25,1986,0.2957086
43.75,12.25,1987,0.28085607
43.75,12.25,1988,0.28841624
43.75,12.25,1989,0.336494
43.75,12.25,1990,0.27479726
43.75,12.25,1991,0.26659596
43.75,12.25,1992,0.2557821
43.75,12.25,1993,0.24859838
43.75,12.25,1994,0.26779088
43.75,12.25,1995,0.32294178
43.75,12.25,1996,0.2937954
43.75,12.25,1997,0.27506799
43.75,12.25,1998,0.253463
43.75,12.25,1999,0.29595348
43.75,12.25,2000,0.25059643
43.75,12.25,2001,0.2666913
43.75,12.25,2002,0.32648325
43.75,12.25,2003,0.22935376
43.75,12.25,2004,0.27786684
43.75,12.25,2005,0.2938551
43.75,12.25,2006,0.27426088
43.75,12.25,2007,0.24748096
43.75,12.25,2008,0.27276403
43.75,12.25,2009,0.2679116
43.75,12.25,2010,0.30876988
43.75,12.25,2011,0.24857602
43.75,12.25,2012,0.26282215
43.75,12.25,2013,0.2893795
43.75,12.25,2014,0.32654387
43.75,12.25,2015,0.26676184
43.75,12.25,2016,0.31877846
44.25,6.75,1982,0.3638999
44.25,6.75,1983,0.37969285
44.25,6.75,1984,0.34808078
44.25,6.75,1985,0.30451185
44.25,6.75,1986,0.34776452
44.25,6.75,1987,0.37032372
44.25,6.75,1988,0.35186598
44.25,6.75,1989,0.35093433
44.25,6.75,1990,0.3367064
44.25,6.75,1991,0.31884044
44.25,6.75,1992,0.3507262
44.25,6.75,1993,0.3408761
44.25,6.75,1994,0.35139683
44.25,6.75,1995,0.3958945
44.25,6.75,1996,0.38121754
44.25,6.75,1997,0.3557455
44.25,6.75,1998,0.31108972
44.25,6.75,1999,0.3609751
44.25,6.75,2000,0.327178
44.25,6.75,2001,0.29782644
44.25,6.75,2002,0.3789397
44.25,6.75,2003,0.29747424
44.25,6.75,2004,0.31173173
44.25,6.75,2005,0.35753697
44.25,6.75,2006,0.34757668
44.25,6.75,2007,0.31214368
44.25,6.75,2008,0.34648424
44.25,6.75,2009,0.33261633
44.25,6.75,2010,0.34893003
44.25,6.75,2011,0.35314676
44.25,6.75,2012,0.30466074
44.25,6.75,2013,0.3604741
44.25,6.75,2014,0.36725062
44.25,6.75,2015,0.34116682
44.25,6.75,2016,0.33876234
44.25,7.25,1982,0.36520398
44.25,7.25,1983,0.37231642
44.25,7.25,1984,0.36380345
44.25,7.25,1985,0.3108063
44.25,7.25,1986,0.34744567
44.25,7.25,1987,0.36209434
44.25,7.25,1988,0.35349146
44.25,7.25,1989,0.3607738
44.25,7.25,1990,0.34659094
44.25,7.25,1991,0.31752038
44.25,7.25,1992,0.36041164
44.25,7.25,1993,0.33833456
44.25,7.25,1994,0.35232154
44.25,7.25,1995,0.39346385
44.25,7.25,1996,0.3714751
44.25,7.25,1997,0.34833595
44.25,7.25,1998,0.3224354
44.25,7.25,1999,0.35927036
44.25,7.25,2000,0.34040442
44.25,7.25,2001,0.31380153
44.25,7.25,2002,0.39045873
44.25,7.25,2003,0.3007351
44.25,7.25,2004,0.3191416
44.25,7.25,2005,0.35969275
44.25,7.25,2006,0.34544325
44.25,7.25,2007,0.31347793
44.25,7.25,2008,0.34704676
44.25,7.25,2009,0.3375681
44.25,7.25,2010,0.36052284
44.25,7.25,2011,0.358092
44.25,7.25,2012,0.32402965
44.25,7.25,2013,0.37036765
44.25,7.25,2014,0.38475403
44.25,7.25,2015,0.35804588
44.25,7.25,2016,0.3549049
44.25,7.75,1982,0.3264226
44.25,7.75,1983,0.34593433
44.25,7.75,1984,0.3468147
44.25,7.75,1985,0.30396083
44.25,7.75,1986,0.3221367
44.25,7.75,1987,0.32200426
44.25,7.75,1988,0.32244655
44.25,7.75,1989,0.34130824
44.25,7.75,1990,0.3282272
44.25,7.75,1991,0.29307604
44.25,7.75,1992,0.35019788
44.25,7.75,1993,0.3218937
44.25,7.75,1994,0.32511988
44.25,7.75,1995,0.36363792
44.25,7.75,1996,0.34447178
44.25,7.75,1997,0.31763807
44.25,7.75,1998,0.31395897
44.25,7.75,1999,0.33294103
44.25,7.75,2000,0.3264403
44.25,7.75,2001,0.3050886
44.25,7.75,2002,0.3786444
44.25,7.75,2003,0.2752095
44.25,7.75,2004,0.3001737
44.25,7.75,2005,0.33143944
44.25,7.75,2006,0.3008915
44.25,7.75,2007,0.2955554
44.25,7.75,2008,0.33359167
44.25,7.75,2009,0.30636948
44.25,7.75,2010,0.34190565
44.25,7.75,2011,0.32183936
44.25,7.75,2012,0.31213745
44.25,7.75,2013,0.34620017
44.25,7.75,2014,0.3835204
44.25,7.75,2015,0.34241396
44.25,7.75,2016,0.33921742
44.25,10.75,1982,0.26181763
44.25,10.75,1983,0.26264185
44.25,10.75,1984,0.28443798
44.25,10.75,1985,0.24587
44.25,10.75,1986,0.26476988
44.25,10.75,1987,0.25987047
44.25,10.75,1988,0.25649855
44.25,10.75,1989,0.3025083
44.25,10.75,1990,0.2558921
44.25,10.75,1991,0.2455486
44.25,10.75,1992,0.24504653
44.25,10.75,1993,0.24700733
44.25,10.75,1994,0.25579163
44.25,10.75,1995,0.28897938
44.25,10.75,1996,0.26765615
44.25,10.75,1997,0.26724795
44.25,10.75,1998,0.23109484
44.25,10.75,1999,0.27018154
44.25,10.75,2000,0.24837475
44.25,10.75,2001,0.25531045
44.25,10.75,2002,0.30401832
44.25,10.75,2003,0.19657838
44.25,10.75,2004,0.25428125
44.25,10.75,2005,0.2611802
44.25,10.75,2006,0.24806495
44.25,10.75,2007,0.22938271
44.25,10.75,2008,0.25602722
44.25,10.75,2009,0.23617919
44.25,10.75,2010,0.2911293
44.25,10.75,2011,0.23060401
44.25,10.75,2012,0.23252869
44.25,10.75,2013,0.26034132
44.25,10.75,2014,0.30284706
44.25,10.75,2015,0.25041187
44.25,10.75,2016,0.26543456
44.25,11.25,1982,0.2894451
44.25,11.25,1983,0.28034705
44.25,11.25,1984,0.3161527
44.25,11.25,1985,0.27180654
44.25,11.25,1986,0.30566245
44.25,11.25,1987,0.27958655
44.25,11.25,1988,0.29095924
44.25,11.25,1989,0.3468557
44.25,11.25,1990,0.2911218
44.25,11.25,1991,0.2712969
44.25,11.25,1992,0.2567915
44.25,11.25,1993,0.26449046
44.25,11.25,1994,0.29508153
44.25,11.25,1995,0.32593995
44.25,11.25,1996,0.30295166
44.25,11.25,1997,0.29120788
44.25,11.25,1998,0.26009983
44.25,11.25,1999,0.30674866
44.25,11.25,2000,0.28015882
44.25,11.25,2001,0.28824902
44.25,11.25,2002,0.34624964
44.25,11.25,2003,0.22044615
44.25,11.25,2004,0.29777455
44.25,11.25,2005,0.29528812
44.25,11.25,2006,0.28626052
44.25,11.25,2007,0.2581173
44.25,11.25,2008,0.29338625
44.25,11.25,2009,0.26716906
44.25,11.25,2010,0.32201952
44.25,11.25,2011,0.25269225
44.25,11.25,2012,0.2676808
44.25,11.25,2013,0.28667104
44.25,11.25,2014,0.33961192
44.25,11.25,2015,0.28682703
44.25,11.25,2016,0.30173534
44.25,11.75,1982,0.2692887
44.25,11.75,1983,0.26148742
44.25,11.75,1984,0.3008894
44.25,11.75,1985,0.2525835
44.25,11.75,1986,0.28941932
44.25,11.75,1987,0.25731677
44.25,11.75,1988,0.28163332
44.25,11.75,1989,0.32975307
44.25,11.75,1990,0.2770664
44.25,11.75,1991,0.26004773
44.25,11.75,1992,0.23567763
44.25,11.75,1993,0.24133167
44.25,11.75,1994,0.26662415
44.25,11.75,1995,0.31618994
44.25,11.75,1996,0.28317612
44.25,11.75,1997,0.26661253
44.25,11.75,1998,0.24663942
44.25,11.75,1999,0.29039392
44.25,11.75,2000,0.2527778
44.25,11.75,2001,0.2686941
44.25,11.75,2002,0.33717957
44.25,11.75,2003,0.21862061
44.25,11.75,2004,0.28298792
44.25,11.75,2005,0.2940176
44.25,11.75,2006,0.285317
44.25,11.75,2007,0.24593067
44.25,11.75,2008,0.2807228
44.25,11.75,2009,0.25406542
44.25,11.75,2010,0.31360793
44.25,11.75,2011,0.23441772
44.25,11.75,2012,0.25824538
44.25,11.75,2013,0.2716394
44.25,11.75,2014,0.33454186
44.25,11.75,2015,0.26458582
44.25,11.75,2016,0.29497132
44.75,6.75,1982,0.38880908
44.75,6.75,1983,0.40414062
44.75,6.75,1984,0.3869646
44.75,6.75,1985,0.34407485
44.75,6.75,1986,0.36425892
44.75,6.75,1987,0.38053554
44.75,6.75,1988,0.3674468
44.75,6.75,1989,0.36295217
44.75,6.75,1990,0.34998974
44.75,6.75,1991,0.35312694
44.75,6.75,1992,0.38110524
44.75,6.75,1993,0.36926684
44.75,6.75,1994,0.38277024
44.75,6.75,1995,0.4092329
44.75,6.75,1996,0.41285604
44.75,6.75,1997,0.38929686
44.75,6.75,1998,0.3394769
44.75,6.75,1999,0.38945156
44.75,6.75,2000,0.3599941
44.75,6.75,2001,0.34911364
44.75,6.75,2002,0.3972869
44.75,6.75,2003,0.33067298
44.75,6.75,2004,0.35074744
44.75,6.75,2005,0.36625785
44.75,6.75,2006,0.37134838
44.75,6.75,2007,0.33746365
44.75,6.75,2008,0.36469775
44.75,6.75,2009,0.35749292
44.75,6.75,2010,0.3734502
44.75,6.75,2011,0.38022304
44.75,6.75,2012,0.3501223
44.75,6.75,2013,0.37524587
44.75,6.75,2014,0.3996716
44.75,6.75,2015,0.37913904
44.75,6.75,2016,0.36713952
44.75,7.25,1982,0.42512378
44.75,7.25,1983,0.42196846
44.75,7.25,1984,0.41422042
44.75,7.25,1985,0.41045046
44.75,7.25,1986,0.4235139
44.75,7.25,1987,0.41512114
44.75,7.25,1988,0.42032057
44.75,7.25,1989,0.41779643
44.75,7.25,1990,0.41045314
44.75,7.25,1991,0.38288307
44.75,7.25,1992,0.4253811
44.75,7.25,1993,0.41532874
44.75,7.25,1994,0.4157509
44.75,7.25,1995,0.42351073
44.75,7.25,1996,0.42666906
44.75,7.25,1997,0.4163863
44.75,7.25,1998,0.40054408
44.75,7.25,1999,0.4276731
44.75,7.25,2000,0.41055125
44.75,7.25,2001,0.40895015
44.75,7.25,2002,0.43708628
44.75,7.25,2003,0.37532336
44.75,7.25,2004,0.39882243
44.75,7.25,2005,0.41146022
44.75,7.25,2006,0.3929618
44.75,7.25,2007,0.40270266
44.75,7.25,2008,0.4325427
44.75,7.25,2009,0.40997082
44.75,7.25,2010,0.4244856
44.75,7.25,2011,0.42019334
44.75,7.25,2012,0.42659205
44.75,7.25,2013,0.4213201
44.75,7.25,2014,0.43520227
44.75,7.25,2015,0.4279995
44.75,7.25,2016,0.42461824
44.75,7.75,1982,0.3324484
44.75,7.75,1983,0.345947
44.75,7.75,1984,0.3522361
44.75,7.75,1985,0.3230216
44.75,7.75,1986,0.3371442
44.75,7.75,1987,0.3084951
44.75,7.75,1988,0.34088975
44.75,7.75,1989,0.30656496
44.75,7.75,1990,0.31750193
44.75,7.75,1991,0.29115516
44.75,7.75,1992,0.3553351
44.75,7.75,1993,0.32510203
44.75,7.75,1994,0.34326857
44.75,7.75,1995,0.34888622
44.75,7.75,1996,0.3316411
44.75,7.75,1997,0.306796
44.75,7.75,1998,0.31175646
44.75,7.75,1999,0.3435077
44.75,7.75,2000,0.33946776
44.75,7.75,2001,0.31919116
44.75,7.75,2002,0.3863868
44.75,7.75,2003,0.25750145
44.75,7.75,2004,0.29348654
44.75,7.75,2005,0.32524925
44.75,7.75,2006,0.28448385
44.75,7.75,2007,0.32266372
44.75,7.75,2008,0.3516183
44.75,7.75,2009,0.29520714
44.75,7.75,2010,0.34555444
44.75,7.75,2011,0.31465882
44.75,7.75,2012,0.34226942
44.75,7.75,2013,0.3279989
44.75,7.75,2014,0.37641186
44.75,7.75,2015,0.35662228
44.75,7.75,2016,0.33170775
44.75,8.25,1982,0.2811101
44.75,8.25,1983,0.2951465
44.75,8.25,1984,0.30899635
44.75,8.25,1985,0.26638743
44.75,8.25,1986,0.28076696
44.75,8.25,1987,0.25991333
44.75,8.25,1988,0.2863534
44.75,8.25,1989,0.2806931
44.75,8.25,1990,0.26379848
44.75,8.25,1991,0.23144701
44.75,8.25,1992,0.31134462
44.75,8.25,1993,0.26705968
44.75,8.25,1994,0.29570106
44.75,8.25,1995,0.30788183
44.75,8.25,1996,0.2924575
44.75,8.25,1997,0.26594347
44.75,8.25,1998,0.27574268
44.75,8.25,1999,0.29378697
44.75,8.25,2000,0.27879712
44.75,8.25,2001,0.2680419
44.75,8.25,2002,0.34585547
44.75,8.25,2003,0.21679823
44.75,8.25,2004,0.2460188
44.75,8.25,2005,0.29093796
44.75,8.25,2006,0.24685927
44.75,8.25,2007,0.2652587
44.75,8.25,2008,0.31677672
44.75,8.25,2009,0.25151476
44.75,8.25,2010,0.29864526
44.75,8.25,2011,0.25915575
44.75,8.25,2012,0.28118995
44.75,8.25,2013,0.29712683
44.75,8.25,2014,0.3364268
44.75,8.25,2015,0.3081516
44.75,8.25,2016,0.29243565
44.75,8.75,1982,0.2738783
44.75,8.75,1983,0.2973672
44.75,8.75,1984,0.3076162
44.75,8.75,1985,0.26317492
44.75,8.75,1986,0.27508911
44.75,8.75,1987,0.26122388
44.75,8.75,1988,0.27673548
44.75,8.75,1989,0.26171717
44.75,8.75,1990,0.23615405
44.75,8.75,1991,0.22786741
44.75,8.75,1992,0.2957206
44.75,8.75,1993,0.25009876
44.75,8.75,1994,0.28975683
44.75,8.75,1995,0.28710377
44.75,8.75,1996,0.2891487
44.75,8.75,1997,0.24665578
44.75,8.75,1998,0.25828075
44.75,8.75,1999,0.2836426
44.75,8.75,2000,0.2537257
44.75,8.75,2001,0.25933543
44.75,8.75,2002,0.32231224
44.75,8.75,2003,0.20445545
44.75,8.75,2004,0.22660717
44.75,8.75,2005,0.28031436
44.75,8.75,2006,0.25026113
44.75,8.75,2007,0.25813243
44.75,8.75,2008,0.29166347
44.75,8.75,2009,0.23521069
44.75,8.75,2010,0.29070106
44.75,8.75,2011,0.24996229
44.75,8.75,2012,0.26237926
44.75,8.75,2013,0.2862515
44.75,8.75,2014,0.31235656
44.75,8.75,2015,0.2835464
44.75,8.75,2016,0.25565514
44.75,9.25,1982,0.3147134
44.75,9.25,1983,0.32386047
44.75,9.25,1984,0.3291788
44.75,9.25,1985,0.29865062
44.75,9.25,1986,0.3091521
44.75,9.25,1987,0.30516404
44.75,9.25,1988,0.3226025
44.75,9.25,1989,0.3182213
44.75,9.25,1990,0.29381496
44.75,9.25,1991,0.26540905
44.75,9.25,1992,0.32538083
44.75,9.25,1993,0.29448742
44.75,9.25,1994,0.31239638
44.75,9.25,1995,0.32794544
44.75,9.25,1996,0.32378358
44.75,9.25,1997,0.29940334
44.75,9.25,1998,0.2971654
44.75,9.25,1999,0.32746395
44.75,9.25,2000,0.29472667
44.75,9.25,2001,0.30472875
44.75,9.25,2002,0.36077458
44.75,9.25,2003,0.24983239
44.75,9.25,2004,0.26557946
44.75,9.25,2005,0.31977916
44.75,9.25,2006,0.28594226
44.75,9.25,2007,0.29123425
44.75,9.25,2008,0.3250326
44.75,9.25,2009,0.27059692
44.75,9.25,2010,0.33572754
44.75,9.25,2011,0.29496336
44.75,9.25,2012,0.29672033
44.75,9.25,2013,0.31948388
44.75,9.25,2014,0.3559564
44.75,9.25,2015,0.31569153
44.75,9.25,2016,0.30842334
44.75,9.75,1982,0.32576674
44.75,9.75,1983,0.3241785
44.75,9.75,1984,0.33666894
44.75,9.75,1985,0.30820388
44.75,9.75,1986,0.3215216
44.75,9.75,1987,0.31316295
44.75,9.75,1988,0.33539954
44.75,9.75,1989,0.34312576
44.75,9.75,1990,0.31119153
44.75,9.75,1991,0.27092177
44.75,9.75,1992,0.31771335
44.75,9.75,1993,0.3053883
44.75,9.75,1994,0.3296582
44.75,9.75,1995,0.33985767
44.75,9.75,1996,0.3185088
44.75,9.75,1997,0.31627148
44.75,9.75,1998,0.30414334
44.75,9.75,1999,0.33342406
44.75,9.75,2000,0.30977377
44.75,9.75,2001,0.31858876
44.75,9.75,2002,0.36943507
44.75,9.75,2003,0.25541076
44.75,9.75,2004,0.28452224
44.75,9.75,2005,0.32790798
44.75,9.75,2006,0.29508743
44.75,9.75,2007,0.30321556
44.75,9.75,2008,0.32253566
44.75,9.75,2009,0.28227797
44.75,9.75,2010,0.34948525
44.75,9.75,2011,0.2943706
44.75,9.75,2012,0.3027362
44.75,9.75,2013,0.32809216
44.75,9.75,2014,0.36842248
44.75,9.75,2015,0.3140349
44.75,9.75,2016,0.31987843
44.75,10.25,1982,0.31439343
44.75,10.25,1983,0.30130997
44.75,10.25,1984,0.33424073
44.75,10.25,1985,0.29632935
44.75,10.25,1986,0.31481877
44.75,10.25,1987,0.2894835
44.75,10.25,1988,0.3218298
44.75,10.25,1989,0.3349567
44.75,10.25,1990,0.2948407
44.75,10.25,1991,0.26971692
44.75,10.25,1992,0.29167762
44.75,10.25,1993,0.28810948
44.75,10.25,1994,0.32001576
44.75,10.25,1995,0.3314143
44.75,10.25,1996,0.29775563
44.75,10.25,1997,0.2873873
44.75,10.25,1998,0.2846609
44.75,10.25,1999,0.3139251
44.75,10.25,2000,0.2955631
44.75,10.25,2001,0.30833325
44.75,10.25,2002,0.35897642
44.75,10.25,2003,0.24713378
44.75,10.25,2004,0.29261118
44.75,10.25,2005,0.31310815
44.75,10.25,2006,0.2959187
44.75,10.25,2007,0.28488734
44.75,10.25,2008,0.31319374
44.75,10.25,2009,0.27435827
44.75,10.25,2010,0.33982748
44.75,10.25,2011,0.27799022
44.75,10.25,2012,0.28655395
44.75,10.25,2013,0.32645327
44.75,10.25,2014,0.3529792
44.75,10.25,2015,0.29506406
44.75,10.25,2016,0.30721337
44.75,10.75,1982,0.30227476
44.75,10.75,1983,0.2852013
44.75,10.75,1984,0.32240674
44.75,10.75,1985,0.27207714
44.75,10.75,1986,0.3068734
44.75,10.75,1987,0.263205
44.75,10.75,1988,0.30655223
44.75,10.75,1989,0.33431655
44.75,10.75,1990,0.2848823
44.75,10.75,1991,0.26035106
44.75,10.75,1992,0.25802773
44.75,10.75,1993,0.26171008
44.75,10.75,1994,0.30812198
44.75,10.75,1995,0.3263019
44.75,10.75,1996,0.28544837
44.75,10.75,1997,0.27015883
44.75,10.75,1998,0.26359048
44.75,10.75,1999,0.30470142
44.75,10.75,2000,0.27500868
44.75,10.75,2001,0.2893181
44.75,10.75,2002,0.35586852
44.75,10.75,2003,0.22547403
44.75,10.75,2004,0.28961107
44.75,10.75,2005,0.30407166
44.75,10.75,2006,0.28879958
44.75,10.75,2007,0.2688635
44.75,10.75,2008,0.30773193
44.75,10.75,2009,0.2675476
44.75,10.75,2010,0.33785206
44.75,10.75,2011,0.26444653
44.75,10.75,2012,0.27014342
44.75,10.75,2013,0.31035036
44.75,10.75,2014,0.3452643
44.75,10.75,2015,0.27771032
44.75,10.75,2016,0.3020853
44.75,11.25,1982,0.26052284
44.75,11.25,1983,0.2464215
44.75,11.25,1984,0.29047865
44.75,11.25,1985,0.23044387
44.75,11.25,1986,0.2635618
44.75,11.25,1987,0.22432604
44.75,11.25,1988,0.2664247
44.75,11.25,1989,0.29891124
44.75,11.25,1990,0.23807445
44.75,11.25,1991,0.23727393
44.75,11.25,1992,0.2077661
44.75,11.25,1993,0.21543665
44.75,11.25,1994,0.2571366
44.75,11.25,1995,0.28865394
44.75,11.25,1996,0.25554994
44.75,11.25,1997,0.23220277
44.75,11.25,1998,0.22628358
44.75,11.25,1999,0.26575452
44.75,11.25,2000,0.22053036
44.75,11.25,2001,0.24992676
44.75,11.25,2002,0.32343823
44.75,11.25,2003,0.1928324
44.75,11.25,2004,0.24712208
44.75,11.25,2005,0.2719844
44.75,11.25,2006,0.250474
44.75,11.25,2007,0.22532924
44.75,11.25,2008,0.2663501
44.75,11.25,2009,0.2394054
44.75,11.25,2010,0.31127977
44.75,11.25,2011,0.22949538
44.75,11.25,2012,0.23150733
44.75,11.25,2013,0.2703844
44.75,11.25,2014,0.30730164
44.75,11.25,2015,0.2393301
44.75,11.25,2016,0.2686028
44.75,11.75,1982,0.23660374
44.75,11.75,1983,0.22294554
44.75,11.75,1984,0.2704864
44.75,11.75,1985,0.20999572
44.75,11.75,1986,0.23277013
44.75,11.75,1987,0.202234
44.75,11.75,1988,0.24715845
44.75,11.75,1989,0.2744436
44.75,11.75,1990,0.22179297
44.75,11.75,1991,0.22655699
44.75,11.75,1992,0.19168055
44.75,11.75,1993,0.20147815
44.75,11.75,1994,0.2242394
44.75,11.75,1995,0.27400988
44.75,11.75,1996,0.23950998
44.75,11.75,1997,0.21920994
44.75,11.75,1998,0.20729224
44.75,11.75,1999,0.24304858
44.75,11.75,2000,0.19213136
44.75,11.75,2001,0.227213
44.75,11.75,2002,0.3007837
44.75,11.75,2003,0.18198475
44.75,11.75,2004,0.22789843
44.75,11.75,2005,0.2581284
44.75,11.75,2006,0.24348083
44.75,11.75,2007,0.21173084
44.75,11.75,2008,0.25375015
44.75,11.75,2009,0.22213879
44.75,11.75,2010,0.29455918
44.75,11.75,2011,0.20094506
44.75,11.75,2012,0.20883775
44.75,11.75,2013,0.247474
44.75,11.75,2014,0.29031116
44.75,11.75,2015,0.21918993
44.75,11.75,2016,0.26209864
45.25,6.75,1982,0.40482616
45.25,6.75,1983,0.4145574
45.25,6.75,1984,0.41051817
45.25,6.75,1985,0.380787
45.25,6.75,1986,0.39109105
45.25,6.75,1987,0.39631385
45.25,6.75,1988,0.38996425
45.25,6.75,1989,0.38909557
45.25,6.75,1990,0.36211902
45.25,6.75,1991,0.3663225
45.25,6.75,1992,0.39184314
45.25,6.75,1993,0.39606872
45.25,6.75,1994,0.40375194
45.25,6.75,1995,0.42100376
45.25,6.75,1996,0.42078835
45.25,6.75,1997,0.40460587
45.25,6.75,1998,0.37766394
45.25,6.75,1999,0.40864548
45.25,6.75,2000,0.38460144
45.25,6.75,2001,0.39328736
45.25,6.75,2002,0.41681617
45.25,6.75,2003,0.35235447
45.25,6.75,2004,0.3791549
45.25,6.75,2005,0.39848524
45.25,6.75,2006,0.39810804
45.25,6.75,2007,0.3822733
45.25,6.75,2008,0.3883706
45.25,6.75,2009,0.37478834
45.25,6.75,2010,0.3972272
45.25,6.75,2011,0.39821213
45.25,6.75,2012,0.3847207
45.25,6.75,2013,0.39312196
45.25,6.75,2014,0.41504806
45.25,6.75,2015,0.3798229
45.25,6.75,2016,0.38267714
45.25,7.25,1982,0.33693457
45.25,7.25,1983,0.33395615
45.25,7.25,1984,0.32464844
45.25,7.25,1985,0.32185912
45.25,7.25,1986,0.33785072
45.25,7.25,1987,0.32089758
45.25,7.25,1988,0.33579382
45.25,7.25,1989,0.3254122
45.25,7.25,1990,0.30653945
45.25,7.25,1991,0.29443908
45.25,7.25,1992,0.33146948
45.25,7.25,1993,0.33003625
45.25,7.25,1994,0.33244506
45.25,7.25,1995,0.33441967
45.25,7.25,1996,0.33456457
45.25,7.25,1997,0.32364696
45.25,7.25,1998,0.31238833
45.25,7.25,1999,0.3392954
45.25,7.25,2000,0.32018372
45.25,7.25,2001,0.32025498
45.25,7.25,2002,0.34314454
45.25,7.25,2003,0.29191238
45.25,7.25,2004,0.31612438
45.25,7.25,2005,0.32253516
45.25,7.25,2006,0.30862978
45.25,7.25,2007,0.32116348
45.25,7.25,2008,0.34511805
45.25,7.25,2009,0.3332936
45.25,7.25,2010,0.3347035
45.25,7.25,2011,0.3308021
45.25,7.25,2012,0.3383879
45.25,7.25,2013,0.33155394
45.25,7.25,2014,0.3397599
45.25,7.25,2015,0.32922292
45.25,7.25,2016,0.32969642
